id,envios,ventas
af956e7a-19a3-4f83-bdb7-34c3bae50832,4178,1363
071490bf-be83-43ae-85aa-0653e414616e,4288,1517
be70a83b-0dda-4d6f-bf5f-4c8f553ec48c,4134,1210
a94928da-d063-4757-b154-976683d7ccfe,4002,1627
bd8a73c4-0a37-4700-9776-d7c41835f1bc,4618,1605
43e1ed08-d58a-4476-b23a-64997662221d,4024,1539
b487f78c-b82d-4a81-a936-b23a529e8666,3782,1649
c0590780-e475-4a70-aa78-5fce31a4d8cc,3013,1539
1ae78fdb-7e96-4170-ba9d-c95d7311e33e,4992,1583
0b10471b-425a-4d94-94f1-7672892f4a95,4310,1495
6e6d3ad3-dad7-4257-a8ac-95bc5c290b98,5190,1693
ebfffba4-2636-4e66-a402-cc208a044db2,4596,1671
b607231d-8d7c-4f3c-92fb-5a1519f5738b,4596,1429
9fc2257e-dc2f-40bd-858e-dc76b9c30b6c,4398,1319
71dc2e9e-9381-4c3b-a06d-55acf1dbb844,2441,902
95f3d7da-756a-4498-a794-c3867162ec57,4750,1737
69b37f68-3ff1-4523-bd4f-c17f07abe1d7,550,198
485feae7-bd69-4193-9409-f2568378ba54,726,330
5528e801-8890-4e4c-bb50-f2cc244fdd26,198,110
e749652d-4406-40a5-a82b-2496eade2897,506,110
600257b3-967c-4ca8-9e4a-e955cb353c0c,484,44
b4d2d9fd-237e-4049-8d8e-237c46f2f849,220,44
b26af128-9e89-4d03-8025-45387e7aa8bb,748,198
c6b5da7f-f05b-4c3b-8d9a-224fda79dd70,220,66
90ac4644-ad4e-4a8d-a8ba-8fbcc6c432a2,330,66
9cf36dc4-4dfe-4678-83ee-3caa4557a4b5,330,88
f42a080b-4bb5-400e-bc07-626a08f6058f,44,0
e71141cb-93c1-4d18-9f7c-1d67d7c1de90,308,66
62fc0757-fbc1-40c0-a0bb-d4c134848850,198,66
51407303-4b52-44be-a072-1f92bbe14cb5,66,44
6394dc7e-23bf-4a2d-bb7e-1d3e26fa6b29,176,66
