id,brand_id,family_id,"""group""",legacy_id,title,channels
62f95ecd-b114-45ff-827e-5900a9c545dc,81ff4456-9c03-441f-9201-9410cae79d85,39792668-5cfd-42c2-8872-ad776e9bad70,T1668,16223,Byginny Top vneck ,"[""LOOKIERO""]"
e962f2f2-0298-4ab9-9da0-341dfcc95399,cfca4b92-12a6-411c-a62a-a874d00aa735,07bee010-39f3-4200-9250-c1524842e6a6,A97,9381,Onlvienna Coat humus ,"[""LOOKIERO""]"
33d3f0e7-190d-4d4a-a73a-aa8c0997304d,bda0bdf1-d19e-4700-9493-78250dce8a6f,2514d6c8-11e6-4692-87b4-dcc1cd18592c,F1030,9585,Onado Skirt hibiscus,"[""LOOKIERO""]"
6b13758f-0a91-4024-8fcc-d42905209d20,988e3625-7d5a-46f9-b93b-f3b15c8d6e61,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,K926,15130,Ihkate Jacket square,"[""LOOKIERO""]"
5452af2a-6edd-41e0-ada3-1cd54391fb57,988e3625-7d5a-46f9-b93b-f3b15c8d6e61,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,K925,15131,Ihkate Jacket blume ,"[""LOOKIERO""]"
0bc9cbd0-d7b8-4bf9-8dac-d32b98b081f0,e2ed2d6d-895f-4d78-85f0-60805c02013b,39792668-5cfd-42c2-8872-ad776e9bad70,T1660,12458,Waff Top oasis,"[""LOOKIERO""]"
fe1fc518-df1a-4064-8d87-0c3f9fe8facd,60f81be4-bc2d-465c-ad62-52551b7c9ad8,882ecdf8-325d-4826-a066-1b263e438f09,B441,13349,Satchel Bag lock ,"[""LOOKIERO""]"
79bb4de1-1832-4f43-87bf-8f56841ae683,056287db-fb8b-44e7-a76a-f356ec59d5f5,1b93b30c-833f-45a8-ba69-c21d2e7f4824,J1504,13652,Lala Sweater knit,"[""LOOKIERO""]"
e2133afa-80a6-4e21-b616-d25399ae896f,e4c97e4e-1141-497f-b38c-3b7c0cae9ec4,e1646b68-8f10-4b63-87d5-30924341f8ba,Q364,13657,Pcinka Scarf long,"[""LOOKIERO""]"
5a14c0da-b607-41fa-8428-4b9857e4d4aa,b7addd6d-e506-4da6-90e7-0f73bc435d28,95f835a3-03fe-40f1-a813-4fbfd2842845,C2244,16470,Alva Tshirt print ,"[""LOOKIERO""]"
e2fb574b-0b89-43f0-bca7-33cbe05bc66c,921d101c-6d05-4d3a-94fa-b50b955f0561,1b93b30c-833f-45a8-ba69-c21d2e7f4824,J1984,16722,Finnny Sweater ranglan ,"[""LOOKIERO""]"
c062200a-5f07-4284-b631-7b084a15014f,921d101c-6d05-4d3a-94fa-b50b955f0561,141f32d6-a5af-49bf-b019-fd28354977f1,S2775,17260,Nette Shirt street ,"[""LOOKIERO""]"
e35ab256-d1a0-4608-913a-012390cdd097,988e3625-7d5a-46f9-b93b-f3b15c8d6e61,c59807ac-0362-4078-94b0-37ea3df6cdd0,S222,\N,Dima Shirt basc ,"[""LOOKIERO""]"
0a56a571-1c34-4e06-b178-9cb1badbd035,7d82a2a5-1eee-425d-a914-ace3d7864a26,39792668-5cfd-42c2-8872-ad776e9bad70,T462,2790,Aster Top blue ,"[""LOOKIERO""]"
625c6d19-fa6c-4a20-bdf7-9cd220d5cdb5,bc72be7a-2bd4-44ff-ab0e-e975e4ee9e96,141f32d6-a5af-49bf-b019-fd28354977f1,J1973,17664,Martin Cardigan knit ,"[""LOOKIERO""]"
1551622e-aaf6-4d6f-b80c-3048f08221b6,988e3625-7d5a-46f9-b93b-f3b15c8d6e61,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,K120,\N,Kate Jacket knit ,"[""LOOKIERO""]"
3db6fe72-3f1c-48ed-9f92-403683bad203,9ef43878-70f3-43df-959d-49af8b1f580f,39792668-5cfd-42c2-8872-ad776e9bad70,T965,7546,Alba Top dots ,"[""LOOKIERO""]"
7c1b4838-f4c3-4a6c-a274-ef2bcd8f364c,f66308ed-5556-4469-a729-517b619fac5a,1b93b30c-833f-45a8-ba69-c21d2e7f4824,J1467,13658,Roll Sweater neck,"[""LOOKIERO""]"
e7260dcf-8f97-409b-8f1d-a48887e5b9e2,f66308ed-5556-4469-a729-517b619fac5a,95f835a3-03fe-40f1-a813-4fbfd2842845,C1257,13659,Round Tshirt tropez,"[""LOOKIERO""]"
a100f6a0-ee21-4e3d-8c9d-c2c80387c94a,f620512a-1e55-4c69-8208-9c83ed4725a5,c59807ac-0362-4078-94b0-37ea3df6cdd0,S2891,16631,Longsleeve Shirt printed ,"[""LOOKIERO""]"
bb93c103-9258-4ef5-85c8-98b244728c25,c92b024d-9dc7-45a7-8de0-b6b6980c16db,39792668-5cfd-42c2-8872-ad776e9bad70,T2099,16904,Muriel Top lace ,"[""LOOKIERO""]"
d33d5196-1e38-473d-a3fc-a257d10a2e32,60f81be4-bc2d-465c-ad62-52551b7c9ad8,ba89fcc3-bb1b-42af-a754-2d9f639e43ab,D2278,14374,Sequim Dress mesh,[]
ba16d1e8-eb47-4364-9bf3-22afeb9131cc,60f81be4-bc2d-465c-ad62-52551b7c9ad8,74ba5e25-afd5-490b-a3a8-2175020c4487,A133,13701,Single Coat breasted,"[""LOOKIERO""]"
cba46bfb-b8fa-4523-8fa3-58f591d8ce5b,ff436f5f-57aa-45bb-badc-c4063c6a022f,3087da56-5a27-4e58-aea7-1555c640f232,X105,9825,Nora Sweatshirt cahier ,"[""LOOKIERO""]"
52a5ae7c-707e-478d-8fae-2701718ac2b3,a686154a-8570-40ae-b6a2-dc82842a5e32,95f835a3-03fe-40f1-a813-4fbfd2842845,S1436,9826,Calantha Shirt bohck ,"[""LOOKIERO""]"
95608907-ed04-41f4-a441-060156f8a0d7,921d101c-6d05-4d3a-94fa-b50b955f0561,1b93b30c-833f-45a8-ba69-c21d2e7f4824,J1746,13559,Dick Sweater vneck ,"[""LOOKIERO""]"
c59f85a8-4b6b-4b1e-b5b7-e81ea6598765,921d101c-6d05-4d3a-94fa-b50b955f0561,95f835a3-03fe-40f1-a813-4fbfd2842845,C1180,11129,Tiara Shirt print ,"[""LOOKIERO""]"
6be3f16e-7383-4c4c-b95a-6d45c7d09f41,988e3625-7d5a-46f9-b93b-f3b15c8d6e61,1dc55e58-a5c3-462c-b73d-8dd480de90fc,P1436,11131,Ihtiffany Pant arona ,"[""LOOKIERO""]"
